title,neighbor_title,rank,wasserstein2_distance
여기사는 더 이상 검을 들지 않았다,붉은실 월하,6,0.3809397220611572
여기사는 더 이상 검을 들지 않았다,제자와 연인 사이,7,0.38762661814689636
여기사는 더 이상 검을 들지 않았다,내 최애가 위험해,8,0.3933790326118469
여기사는 더 이상 검을 들지 않았다,어느날 절친이 남자가 되어버렸다,9,0.40134888887405396
여기사는 더 이상 검을 들지 않았다,회귀했더니 가문이 망했다,10,0.40269577503204346
연화,강도하 청춘 시리즈,1,0.39685574173927307
연화,선비의 방,2,0.4064623713493347
연화,고삼무쌍,3,0.4169553220272064
연화,야수,4,0.42059603333473206
연화,신농사직설,5,0.42078259587287903
연화,내 최애가 위험해,6,0.431190550327301
연화,편지창조,7,0.43249496817588806
연화,만인지상,8,0.4463827610015869
연화,환생소녀,9,0.46325957775115967
연화,마이 러블리 투투,10,0.4634251892566681
오빠야 누나야,어느날 절친이 남자가 되어버렸다,1,0.24238024652004242
오빠야 누나야,청소하실 레옹?,2,0.24974897503852844
오빠야 누나야,포근한 그 남자,3,0.26714766025543213
오빠야 누나야,마이 러블리 투투,4,0.31257784366607666
오빠야 누나야,환생소녀,5,0.3140551447868347
오빠야 누나야,사랑을 피하여,6,0.329852819442749
오빠야 누나야,상아,7,0.3317701816558838
오빠야 누나야,실신남녀,8,0.33690303564071655
오빠야 누나야,내 최애가 위험해,9,0.34171757102012634
오빠야 누나야,붉은실 월하,10,0.34342750906944275
오세영 창작 극화 시리즈,이현세 극화시리즈,1,0.3419806659221649
오세영 창작 극화 시리즈,임꺽정 (완전판),2,0.3834979832172394
오세영 창작 극화 시리즈,몽홀,3,0.3929688632488251
오세영 창작 극화 시리즈,빨간자전거(인터넷연재판),4,0.4122143089771271
오세영 창작 극화 시리즈,만인지상,5,0.4123578667640686
오세영 창작 극화 시리즈,강도하 청춘 시리즈,6,0.43881502747535706
오세영 창작 극화 시리즈,편지창조,7,0.4504851996898651
오세영 창작 극화 시리즈,야수,8,0.4585953950881958
오세영 창작 극화 시리즈,신농사직설,9,0.47000595927238464
오세영 창작 극화 시리즈,고삼무쌍,10,0.48129749298095703
우렁각시,포근한 그 남자,1,0.33072951436042786
우렁각시,환생소녀,2,0.3547195792198181
우렁각시,너에게 하고 싶은 말,3,0.37248966097831726
우렁각시,상자 속 1/36,4,0.37295815348625183
우렁각시,어느날 절친이 남자가 되어버렸다,5,0.37903112173080444
우렁각시,붉은실 월하,6,0.38172969222068787
우렁각시,내 최애가 위험해,7,0.3915342688560486
우렁각시,악녀로 살라신다,8,0.397327721118927
우렁각시,실신남녀,9,0.39878013730049133
우렁각시,엘리트 공주님의 수석지침서,10,0.41330188512802124
이현세 극화시리즈,오세영 창작 극화 시리즈,1,0.3419806659221649
이현세 극화시리즈,만인지상,2,0.3503631055355072
이현세 극화시리즈,임꺽정 (완전판),3,0.38145020604133606
이현세 극화시리즈,야수,4,0.38787317276000977
이현세 극화시리즈,몽홀,5,0.3973000645637512
이현세 극화시리즈,신농사직설,6,0.428509384393692
이현세 극화시리즈,고삼무쌍,7,0.4393943250179291
이현세 극화시리즈,강도하 청춘 시리즈,8,0.44015219807624817
이현세 극화시리즈,보이지 않는 사람,9,0.45969709753990173
이현세 극화시리즈,40억 vs 1,10,0.4650619626045227
임꺽정 (완전판),이현세 극화시리즈,1,0.38145020604133606
임꺽정 (완전판),오세영 창작 극화 시리즈,2,0.3834979832172394
임꺽정 (완전판),만인지상,3,0.42845508456230164
